text,loc
"Light shone through the wintry branches, shadowy arms stretching across the ancient ruins. What was left stood in spite of itself, defying gravity in its precarious way. Yet, this place, kept secret by the trees, was safe. It had avoided modern man's destructive touch and so had become a sanctuary for the animals.",ancient ruins
"The columns were the only complete thing, everything else had worn and crumbled - their decay the only marker if time in a place of uncounted days. Light shone in, illuminating the relics, precious secrets of the forest.",ancient ruins
"Pre-Columbian civilisations firmly left their mark on Mexico’s great lands; the entire country is scattered with ancient ruins and archaeological wonders as well as charmingly, colourful towns left behind by colonialists and beautifully preserved by locals today. ",ancient ruins
"Uxmal and its giant Pyramid of the Magician appears out of harsh jungle landscape with its height and unique, smooth-curved design (unlike most Mayan buildings in Mexico) make it one of the ancient Mayan’s most unique structures. Located more inland than other sites, it is still, according to some, one of the most important ancient ruins in Mexico.",ancient ruins
"When picturing ancient ruins, the Middle East naturally comes to mind. With grand temples like the Pyramids of Egypt, lost cities and civilizations that date back to the dawn of time, you can never leave the Middle East of an Ancient itinerary.",ancient ruins
These premiere ancient ruins in Turkey are set in the middle of the most beautiful and unique landscape you will ever encounter.Caves and churches have been carved into the landscape with complete underground cities to explore.,ancient ruins
"It took us a while to finally see Rome and wow, what a city. Ancient ruins are intertwined throughout the entire metropolis.One minute you are sipping an espresso in a cafe and the next you are walking by a piece of architecture thousands of years old.",ancient ruins
All I could think of was the Musical A Funny Thing Happened on the Way to the Forum when I looked upon the Ancient Ruins. But then I quickly forgot everything I was thinking because it simply took my breath away. I love how the city of Rome built around their history instead of mowing it down like so many cities here in Canada. The ruins and archeological sites are what make a visit to Rome so special.,ancient ruins
"It's fascinating traveling through Ireland to see ruins and tombs that are ancient. I used to think they were only in places like Egypt and Rome.  Newgrange is so perfectly intact, it's hard to believe it could last so long, but then again, it is made up of 200,000 tons of rocks!",ancient ruins
"Chichen Itza is probably the most visited by tourists from Canada and the US, but it was one of our favorites. It was the first ancient ruin we ever visited making it the most memorable. Located in the Yucatan Peninsula of Mexico about 3 hours from Cancun, we had our most in-depth tour of any temple that we have ever gone to.",ancient ruins
